Title,Company,Experience,Location,Salary,Skills
Data Analyst,Bombay Play,0-3 Yrs,Bengaluru,Not Mentioned,"C++, Analytical, Machine learning, Javascript, Data Analyst, Open source, Statistics, Analytics"
Data Analyst,Logfix Scm Solutions,1-3 Yrs,Bengaluru,Not Mentioned,"Machine Learning, Python, Power Bi, Data Cleansing, Data Visualization, Tableau, Jupyter Notebook, Deep Learning"
Data Analyst,Barclays,0-8 Yrs,Chennai,Not Mentioned,"Senior Analyst, Bfsi, Analytical, Reconciliation, Data quality, Investment banking, Continuous improvement, Operations"
Data Analyst I,Spireon,2-7 Yrs,Bengaluru,Not Mentioned,"Ticketing, Automation, Excel, Analytical, Troubleshooting, SSIS, Operations, Software services"
Data Analyst,Aditya Birla Management Corporation (ABMCPL),2-4 Yrs,Mumbai (All Areas)(Prabhadevi),Not Mentioned,"Power Bi, Advanced Excel, Data Monitoring, MIS, Data Analytics, Analytics, Excel, Bi"
Data Analyst,Growzeel Solutions,4-8 Yrs,"Hyderabad, Chennai, Bengaluru",Not Mentioned,"data analyst, python, Power Bi, sql, Bi, Data analysis, Data"
Data Analyst Trainer & Executive,Finprov Business Services,2-5 Yrs,Kochi,Not Mentioned,"Data analysis, Malayalam, Social media, power bi, Data Analyst, data visualization, Digital marketing, Operations"
Online Data Analyst -ETL,Manufacturing Company,6-8 Yrs,Bengaluru,Not Mentioned,"Api Integration, Javascript, Etl Development, ETL Testing, SQL, Data Automation, Cloud Platforms, Azure Monitoring"
Data Analyst,Joshua,1-3 Yrs,Bengaluru,Not Mentioned,"Python, Statistical Modeling, R Program, R, Modeling, Statistics, Program, Data"
Data Analyst,Augie,0-3 Yrs,Bengaluru,Not Mentioned,"Market analysis, Usage, Excel, Data collection, Database, Data Analyst, data visualization, Troubleshooting"
Data Analyst,Kaba Group,2-5 Yrs,New Delhi,Not Mentioned,"metadata, python, data analysis, data management, data analytics, data validation, configuration, data mining"
Analyst- Launch and Commercialization Data,Sanofi,3-5 Yrs,Hyderabad,Not Mentioned,"Data analysis, Publishing, Data management, Project management, Business analytics, Analytical, Market research, Healthcare"
Data Analyst,Freelancer Mantasha  Qazi,5-7 Yrs,Bengaluru(Varthur),Not Mentioned,"Power BI, Microsoft Fabric, Azure Cloud, Power Apps, Snowflake, AWS, SQL, Microsoft"
TARIFF DATA ANALYST,Innover Digital,0-5 Yrs,Bengaluru,Not Mentioned,"Supply chain, IT services, Trade, Management systems, Project management, Data Analyst, trade operations, Continuous improvement"
